datetime,open,high,low,close,volume,ma10,momentum10,ma4,ma16,ma24
2023-01-01 00:00:00,16590.1,16613.3,16581.24,16600.39,4269.58976,,,,,
2023-01-01 01:00:00,16600.93,16604.37,16571.01,16582.08,4844.04845,,,,,
2023-01-01 02:00:00,16581.45,16589.36,16571.8,16577.79,3340.8033,,,,,
2023-01-01 03:00:00,16577.78,16590.06,16565.1,16570.14,4044.43359,,,16582.6,,
2023-01-01 04:00:00,16570.14,16574.97,16564.09,16568.6,2622.14355,,,16574.6525,,
2023-01-01 05:00:00,16568.19,16571.64,16544.12,16548.28,3618.77389,,,16566.2025,,
2023-01-01 06:00:00,16548.28,16567.49,16470.0,16520.81,6695.13625,,,16551.9575,,
2023-01-01 07:00:00,16520.28,16551.24,16487.74,16542.4,4973.43307,,,16545.0225,,
2023-01-01 08:00:00,16541.77,16545.7,16508.39,16529.67,4364.8357,,,16535.29,,
2023-01-01 09:00:00,16529.59,16556.8,16525.78,16551.47,3590.06669,16559.163,-48.919999999998254,16536.0875,,
2023-01-01 10:00:00,16551.47,16559.77,16538.14,16548.19,3318.84038,16553.943,-33.890000000003056,16542.932500000003,,
2023-01-01 11:00:00,16548.19,16548.19,16518.21,16533.04,4242.0805,16549.039,-44.75,16540.5925,,
2023-01-01 12:00:00,16533.04,16535.97,16511.92,16521.85,4285.00909,16543.445,-48.29000000000087,16538.637499999997,,
2023-01-01 13:00:00,16522.22,16534.98,16512.3,16530.71,3717.37178,16539.502,-37.88999999999942,16533.4475,,
2023-01-01 14:00:00,16530.71,16550.0,16528.81,16539.79,3344.90206,16536.621,-8.489999999997963,16531.3475,,
2023-01-01 15:00:00,16539.79,16544.57,16499.01,16526.19,5184.95822,16534.412,5.379999999997381,16529.635,16549.4625,
2023-01-01 16:00:00,16525.7,16534.03,16508.45,16513.34,4271.92023,16533.665,-29.06000000000131,16527.5075,16544.021875,
2023-01-01 17:00:00,16513.33,16542.49,16505.2,16537.88,4100.75049,16533.213,8.210000000002765,16529.3,16541.259375,
2023-01-01 18:00:00,16538.32,16548.71,16533.42,16548.34,3803.76616,16535.079999999998,-3.130000000001018,16531.4375,16539.41875,
2023-01-01 19:00:00,16547.98,16557.0,16540.2,16556.66,3739.53013,16535.599,8.470000000001164,16539.055,16538.576250000002,
2023-01-01 20:00:00,16556.66,16572.94,16548.58,16560.93,4150.48564,16536.873,27.88999999999941,16550.9525,16538.096875,
2023-01-01 21:00:00,16561.29,16567.26,16539.05,16548.04,4379.68203,16538.373,26.19000000000233,16553.4925,16538.081875,
2023-01-01 22:00:00,16547.61,16558.56,16540.85,16542.94,3294.99093,16540.482,12.229999999999563,16552.1425,16539.465,
2023-01-01 23:00:00,16542.94,16559.99,16533.68,16558.73,3220.93236,16543.284,18.93999999999869,16552.66,16540.485625,16548.260833333334
2023-01-02 00:00:00,16558.73,16584.66,16558.0,16565.14,4962.13235,16545.819,38.95000000000073,16553.7125,16542.7025,16546.792083333334
2023-01-02 01:00:00,16565.13,16596.64,16562.51,16578.85,4714.40354,16551.085,65.5099999999984,16561.414999999997,16544.41375,16546.6575
2023-01-02 02:00:00,16579.25,16603.89,16578.85,16591.88,4146.37245,16558.939000000002,54.0,16573.65,16547.144375,16547.244583333333
2023-01-02 03:00:00,16591.35,16623.65,16591.34,16603.08,4709.74023,16565.459,54.7400000000016,16584.737500000003,16551.521875000002,16548.617083333334
2023-01-02 04:00:00,16603.53,16628.0,16600.55,16604.51,4189.05318,16571.076,47.84999999999855,16594.58,16556.688125,16550.11333333333
2023-01-02 05:00:00,16604.51,16608.83,16592.63,16606.68,3656.77804,16576.078,45.75,16601.5375,16561.43625,16552.546666666665
2023-01-02 06:00:00,16607.02,16613.85,16586.24,16602.12,3690.19661,16580.197,54.07999999999811,16604.0975,16565.331875,16555.934583333332
2023-01-02 07:00:00,16602.39,16625.0,16600.8,16616.75,3846.61495,16587.068,73.81000000000131,16607.515,16570.991875,16559.0325
2023-01-02 08:00:00,16617.17,16629.05,16581.25,16588.35,4327.06948,16591.609,29.61999999999898,16603.475,16575.68,16561.4775
2023-01-02 09:00:00,16587.97,16589.2,16548.7,16565.04,5791.85443,16592.239999999998,-0.0999999999985448,16593.065,16577.3775,16562.042916666665
2023-01-02 10:00:00,16565.03,16595.92,16555.0,16587.85,3150.41571,16594.511,9.0,16589.497499999998,16579.846875,16563.695416666666
2023-01-02 11:00:00,16587.99,16707.25,16581.8,16661.94,6194.13548,16602.82,70.05999999999767,16600.795,16586.426875,16569.06625
2023-01-02 12:00:00,16662.38,16674.84,16629.29,16639.44,4983.39445,16607.575999999997,36.359999999996944,16613.567499999997,16591.33375,16573.965833333332
2023-01-02 13:00:00,16639.74,16662.94,16619.44,16647.58,4976.78402,16612.026,43.07000000000335,16634.2025,16597.555,16578.835416666665
2023-01-02 14:00:00,16648.37,16663.27,16635.93,16641.1,3210.61774,16615.684999999998,34.419999999998254,16647.515,16603.69,16583.056666666667
2023-01-02 15:00:00,16641.1,16769.51,16637.44,16721.28,12856.08557,16627.145,119.15999999999984,16662.35,16613.849374999998,16591.185416666664
2023-01-02 16:00:00,16721.27,16772.01,16707.52,16733.71,7080.81126,16640.304,116.95999999999913,16685.9175,16624.385,16600.3675
2023-01-02 17:00:00,16733.71,16745.68,16710.54,16717.5,5599.20896,16650.379,129.15000000000146,16703.3975,16633.050625,16607.851666666666
2023-01-02 18:00:00,16717.5,16762.86,16708.68,16727.95,5892.57705,16664.339,162.90999999999983,16725.11,16641.555,16615.335416666665
2023-01-02 19:00:00,16727.72,16741.72,16704.07,16735.11,4695.34392,16681.345999999998,147.26000000000204,16728.5675,16649.806875,16622.770833333332
2023-01-02 20:00:00,16735.51,16746.29,16719.3,16721.54,4262.00363,16694.715,59.60000000000218,16725.525,16657.12125,16629.462916666667
2023-01-02 21:00:00,16721.96,16725.6,16685.0,16694.78,5598.29706,16697.999000000003,55.34000000000015,16719.845,16662.6275,16635.577083333334
2023-01-02 22:00:00,16695.12,16710.41,16669.15,16698.69,5460.35075,16703.924,51.109999999996944,16712.53,16668.663125,16642.06666666667
2023-01-02 23:00:00,16698.69,16750.0,16692.01,16734.66,6426.56347,16712.631999999998,93.56000000000132,16712.4175,16676.0325,16649.397083333333
2023-01-03 00:00:00,16734.66,16739.64,16708.23,16710.88,3861.0201,16719.609999999997,-10.399999999997815,16709.7525,16683.690625,16655.46958333333
2023-01-03 01:00:00,16710.69,16723.0,16707.12,16715.42,3035.91493,16719.024,-18.29000000000088,16714.9125,16693.089375,16661.16
2023-01-03 02:00:00,16715.42,16731.71,16707.47,16723.81,2810.694,16718.034,6.31000000000131,16721.1925,16701.586875,16666.65708333333
2023-01-03 03:00:00,16723.64,16738.22,16715.88,16737.56,2607.1075,16720.04,9.610000000000582,16721.9175,16706.313125,16672.260416666668
2023-01-03 04:00:00,16737.56,16738.23,16709.29,16728.52,2881.53898,16720.097,-6.5900000000001455,16726.3275,16711.880625,16677.4275
2023-01-03 05:00:00,16728.52,16799.23,16718.41,16757.76,3771.07914,16722.362,36.219999999997526,16736.9125,16718.766875,16683.7225
2023-01-03 06:00:00,16757.76,16763.78,16690.18,16698.4,5609.151,16720.048,3.6200000000026193,16730.56,16722.348125,16687.734166666665
2023-01-03 07:00:00,16698.4,16722.98,16660.51,16672.87,6806.55328,16717.856999999996,-25.81999999999971,16714.3875,16719.3225,16690.0725
2023-01-03 08:00:00,16672.78,16706.14,16647.81,16695.59,5684.61483,16717.547000000002,-39.06999999999971,16706.155,16716.94,16694.540833333333
